icao_code,iata_code,manufacturer,name,description,wtc,service_ceiling,absolute_ceiling,rate_of_climb,approach_speed,cruise_speed,maximum_speed,never_exceed_speed,fuselage_height,fuselage_width,height,length,wing_area,wingspan,main_rotor_area,main_rotor_diameter,fuel_capacity,operating_range,ferry_range,oew,auw,mlw,mrw,mtow,mzfw,type_certificate
M346,,Aermacchi,M-346 Master,L1J,M,,,,,,,,,,,,,,,,,,,,,,,,,
M600,,Piper,PA-46-600TP,L1T,L,,,,,,,,,,,,,,,,,,,,,,,,,
MD11,M11,McDonnell Douglas,MD-11,L3J,H,,,,,,,,,,,,,,,,,,,,,,,,,
MD52,,MD Helicopters,MD-520,H1T,L,,,,,,,,,,,,,,,,,,,,,,,,,
MD60,,MD Helicopters,MD-600,H1T,L,,,,,,,,,,,,,,,,,,,,,,,,,
MD81,M81,McDonnell Douglas,MD-81,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
MD82,M82,McDonnell Douglas,MD-82,L2J,M,,,,134,,,,,,,,,,,,,,,,,,,,,
MD83,M83,McDonnell Douglas,MD-83,L2J,M,,,,144,,,,,,,,,,,,,,,,,,,,,
MD87,M87,McDonnell Douglas,MD-87,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
MD88,M88,McDonnell Douglas,MD-88,L2J,M,,,,144,,,,,,,,,,,,,,,,,,,,,
MD90,M90,McDonnell Douglas,MD-90,L2J,M,,,,138,,,,,,,,,,,,,,,,,,,,,
ME08,,Messerschmitt,Bf 108 Taifun,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
ME09,,Messerschmitt,Bf 109,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
ME62,,Messerschmitt,Me 262 Schwalbe,L2J,L,,,,,,,,,,,,,,,,,,,,,,,,,
MG15,,Mikoyan-Gurevich,MiG-15,L1J,L,,,,,,,,,,,,,,,,,,,,,,,,,
MG17,,Mikoyan-Gurevich,MiG-17,L1J,L,,,,,,,,,,,,,,,,,,,,,,,,,
MG19,,Mikoyan-Gurevich,MiG-19,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
MG21,,Mikoyan-Gurevich,MiG-21,L1J,M,,,,,,,,,,,,,,,,,,,,,,,,,
MG23,,Mikoyan-Gurevich,MiG-23,L1J,M,,,,,,,,,,,,,,,,,,,,,,,,,
MG25,,Mikoyan-Gurevich,MiG-25,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
MG29,,Mikoyan-Gurevich,MiG-29,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
MG31,,Mikoyan-Gurevich,MiG-31,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
MG44,,Mikoyan-Gurevich,MiG 1.44 Flatpack,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
MGAT,,Mikoyan-Gurevich,MiG-AT,L1J,L,,,,,,,,,,,,,,,,,,,,,,,,,
MIR2,,Dassault,Mirage 2000,L1J,M,,,,175,,,,,,,,,,,,,,,,,,,,,
MIRA,,Dassault,Mirage,L1J,M,,,,,,,,,,,,,,,,,,,,,,,,,
MITE,,Mooney,M-18 Mite,L1P,L,,,,51,,,,,,,,,,,,,,,,,,,,,
MOSQ,,De Havilland,DH-98 Mosquito,L2P,M,,,,,,,,,,,,,,,,,,,,,,,,,
MRF1,,Dassault,Mirage F1,L1J,M,,,,,,,,,,,,,,,,,,,,,,,,,
MS23,,Morane-Saulnier,MS.230,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
MS31,,Morane-Saulnier,MS.315,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
MS73,,Morane-Saulnier,MS.733 Alcyon,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
MS76,,Morane-Saulnier,MS.760 Paris,L2J,L,,,,,,,,,,,,,,,,,,,,,,,,,
MSAI,,Morane-Saulnier,AI,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
NMCU,,ENAER,Ñamcú,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
O1,,Cessna,O-1 Bird Dog,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
O3,,Lockheed,YO-3 Quiet Star,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
P2,,Lockheed,P-2 Neptune,L2P,M,,,,,,,,,,,,,,,,,,,,,,,,,
P210,,Cessna,P210 Pressurized Centurion,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
P28A,,Piper,PA-28-100 Cherokee,L1P,L,,,,60,,,,,,,,,,,,,,,,,,,,,
P28B,,Piper,PA-28-200 Cherokee,L1P,L,,,,62,,,,,,,,,,,,,,,,,,,,,
P28R,,Piper,PA-28R Arrow,L1P,L,,,,73,,,,,,,,,,,,,,,,,,,,,
P28S,,Piper,PA-28R Turbo Arrow III,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
P28T,,Piper,PA-28RT Arrow IV,L1P,L,,,,73,,,,,,,,,,,,,,,,,,,,,
P28U,,Piper,PA-28RT Turbo Arrow IV,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
P3,,Lockheed,P-3 Orion,L4T,M,,,,134,,,,,,,,,,,,,,,,,,,,,
P32R,,Piper,PA-32R Lance/Saratoga,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
P32T,,Piper,PA-32 Lance II,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
P337,,Cessna,P337 Pressurized Skymaster,L2P,L,,,,,,,,,,,,,,,,,,,,,,,,,
P38,,Lockheed,P-38 Lightning,L2P,M,,,,,,,,,,,,,,,,,,,,,,,,,
P39,,Bell,P-39 Airacobra,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
P46T,,Piper,PA-46 Malibu,L1T,L,,,,75,,,,,,,,,,,,,,,,,,,,,
P61,,Northrop,P-61 Black Widow,L2P,M,,,,,,,,,,,,,,,,,,,,,,,,,
P63,,Bell,P-63 Kingcobra,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
